iter	Logloss
0	0.5600618966
1	0.4591370954
2	0.3715284384
3	0.3026180037
4	0.2509354904
5	0.2057266996
6	0.1763310598
7	0.153278959
8	0.1284618706
9	0.1124345191
10	0.09934080313
11	0.08621754289
12	0.07678901231
13	0.06909928213
14	0.0607086259
15	0.05502531924
16	0.04936569099
17	0.04505568644
18	0.04118473605
19	0.03810026606
20	0.03674074211
21	0.03423174946
22	0.03132048134
23	0.02870653481
24	0.02723990206
25	0.02556367706
26	0.02456859869
27	0.02316258255
28	0.02184493772
29	0.0214854082
30	0.02063776139
31	0.01924998365
32	0.01858209565
33	0.01796693275
34	0.01690814826
35	0.01615920019
36	0.01519703938
37	0.01476107085
38	0.01425080259
39	0.0137169168
40	0.0130001185
41	0.01261261463
42	0.01222492112
43	0.01173083761
44	0.01134211742
45	0.01092617246
46	0.01059703921
47	0.01022692345
48	0.009860262526
49	0.009593169598
50	0.009391216562
51	0.009128426247
52	0.0088682413
53	0.008581889983
54	0.00837207936
55	0.008103611439
56	0.00781307291
57	0.007591069176
58	0.007325071225
59	0.007125953198
60	0.006914331758
61	0.006661229738
62	0.006476514934
63	0.006288929853
64	0.006158725576
65	0.006127129461
66	0.005962424686
67	0.00583678397
68	0.005722440865
69	0.005626188251
70	0.00548750901
71	0.005404085474
72	0.005295478312
73	0.005208569205
74	0.005093924408
75	0.005019925367
76	0.004934849282
77	0.004847973034
78	0.00477784652
79	0.004670007672
80	0.004578862303
81	0.004520623637
82	0.004426933693
83	0.004341576316
84	0.004288668104
85	0.004234455944
86	0.004154717814
87	0.004084237035
88	0.004011122837
89	0.003939812147
90	0.003895794768
91	0.003827504785
92	0.003761475875
93	0.003698688128
94	0.003638374116
95	0.003582079197
96	0.003527852098
97	0.003475108996
98	0.003423077261
99	0.003372789481
100	0.003330056888
101	0.003284550964
102	0.003244815414
103	0.003201799851
104	0.003158155103
105	0.003117624713
106	0.003077026457
107	0.003042324567
108	0.003005075936
109	0.002967698936
110	0.002935621496
111	0.002905621689
112	0.002875017865
113	0.002846166849
114	0.002813919958
115	0.002782507907
116	0.002754824312
117	0.002728475074
118	0.00270178679
119	0.002675680158
120	0.002650960451
121	0.002623263968
122	0.002596302806
123	0.002569889703
124	0.00256036806
125	0.002507076915
126	0.002498215134
127	0.002489558196
128	0.002439397031
129	0.002389820568
130	0.002359288341
131	0.002351637434
132	0.002344147419
133	0.002300049259
134	0.002271891498
135	0.00226495489
136	0.00225814609
137	0.002251459536
138	0.002244890039
139	0.002202967315
140	0.002176306557
141	0.00213707947
142	0.002100172069
143	0.002082611706
144	0.002052365991
145	0.002023170474
146	0.002000823519
147	0.001973638204
148	0.001946969717
149	0.001929554631
150	0.001904778055
151	0.001875398252
152	0.00185164975
153	0.00183981014
154	0.001828135409
155	0.001816621956
156	0.001805266285
157	0.001793973319
158	0.001782924352
159	0.001772184014
160	0.001761584114
161	0.001750875592
162	0.001740549724
163	0.001730355871
164	0.001720291386
165	0.001710353691
